Entry_ID,Bank_Name,Transaction_Description,Debit_Account,Credit_Account,Amount,Keywords,FAS_Code,Contract_Type,Confidence_Level
ENT001,Qatar Islamic Bank,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,437081,joint venture,FAS 4,Musharaka,0.98
ENT002,Kuwait Finance House,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,215519,joint venture,FAS 4,Musharaka,0.78
ENT003,Bank Al Jazeera,Bank provides advance cash payment for goods to be delivered in the future.,Receivable,Cash,346585,advance payment,FAS 7,Salam,0.95
ENT004,Bank Al Jazeera,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,398193,construction,FAS 10,Istisna,0.77
ENT005,Kuwait Finance House,Bank leases equipment to client with option to buy at end of lease term.,Investment,Inventory,186010,rental,FAS 32,Ijarah,0.99
ENT006,Al Baraka Bank,Bank provides advance cash payment for goods to be delivered in the future.,Receivable,Cash,338342,advance payment,FAS 7,Salam,0.98
ENT007,Qatar Islamic Bank,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,20738,business investment,FAS 4,Musharaka,0.99
ENT008,Dubai Islamic Bank,Bank provides advance cash payment for goods to be delivered in the future.,Investment,Inventory,409680,future delivery,FAS 7,Salam,0.77
ENT009,Kuwait Finance House,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,279639,manufacturing,FAS 10,Istisna,0.76
ENT010,Kuwait Finance House,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,237532,installments,FAS 28,Murabaha,0.74
ENT011,Qatar Islamic Bank,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,379084,profit-sharing,FAS 4,Musharaka,0.94
ENT012,Al Baraka Bank,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,43920,cost plus,FAS 10,Istisna,0.72
ENT013,Qatar Islamic Bank,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,492686,delivery,FAS 10,Istisna,0.74
ENT014,Al Baraka Bank,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,207940,installments,FAS 28,Murabaha,0.95
ENT015,Qatar Islamic Bank,Bank leases equipment to client with option to buy at end of lease term.,Investment,Inventory,217758,term contract,FAS 32,Ijarah,0.89
ENT016,Qatar Islamic Bank,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,456955,joint venture,FAS 4,Musharaka,0.89
ENT017,Bank Al Jazeera,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,215494,business investment,FAS 4,Musharaka,0.8
ENT018,Al Baraka Bank,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,97599,installments,FAS 28,Murabaha,0.74
ENT019,Kuwait Finance House,Bank sells an asset to client with markup and deferred payment terms.,Receivable,Cash,188820,deferred payment,FAS 28,Murabaha,0.86
ENT020,Kuwait Finance House,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,23383,profit-sharing,FAS 4,Musharaka,0.93
ENT021,Qatar Islamic Bank,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,37298,installments,FAS 28,Murabaha,0.79
ENT022,Kuwait Finance House,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,430676,markup,FAS 28,Murabaha,0.89
ENT023,Qatar Islamic Bank,Bank leases equipment to client with option to buy at end of lease term.,Investment,Inventory,279636,term contract,FAS 32,Ijarah,0.7
ENT024,Kuwait Finance House,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,367405,profit-sharing,FAS 4,Musharaka,0.91
ENT025,Bank Al Jazeera,Bank sells an asset to client with markup and deferred payment terms.,Investment,Inventory,290774,resale,FAS 28,Murabaha,0.73
ENT026,Kuwait Finance House,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,476496,manufacturing,FAS 10,Istisna,0.77
ENT027,Kuwait Finance House,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,478779,joint venture,FAS 4,Musharaka,0.87
ENT028,Bank Al Jazeera,Bank contracts manufacturer to build assets for client with agreed delivery schedule.,Investment,Inventory,90834,cost plus,FAS 10,Istisna,0.92
ENT029,Al Baraka Bank,Bank provides advance cash payment for goods to be delivered in the future.,Investment,Inventory,462546,agriculture,FAS 7,Salam,0.93
ENT030,Dubai Islamic Bank,Bank partners with client on joint business venture where profits and losses are shared.,Investment,Inventory,84157,equity,FAS 4,Musharaka,0.97
ENT031,Bank Al Jazeera,Bank provides advance cash payment for goods to be delivered in the future.,Receivable,Cash,35319,prepayment,FAS 7,Salam,0.86
ENT032,Kuwait Finance House,Bank leases equipment to client with option to buy at end of lease term.,Receivable,Lease Income,156040,lease,FAS 32,Ijarah,0.97
